Area,Course,Date,Skills,Technology,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Business,Branding Fundamentals,2016-01-25,Marketing,Concepts,,,Yes,Drew Boyd,Linkedin,1.5,0,1.5,United States
Data Science,Introduction to R,2016-01-12,Coding,R,,,Yes,Jonathan Cornelissen,Data Camp,4,8,12,Belgium
Data Science,Spark and Scala,2016-01-12,Coding,Scala,,,Yes,Jismi,Edureka,70,80,150,India
Project Management,Managing Health Care Projects,2016-01-11,Productivity,Concepts,,,Yes,Bob MacGannon,Linkedin,2,0,2,United States
Project Management,How to get your Ideas Approved,2016-01-11,Sales,Concepts,,,Yes,Mike Figliuolo,Linkedin,2,0,2,United States
Data Science,Code Clinic  R,2016-01-11,Coding,R,,,Yes,MarkNiemannRoss,Linkedin,4,8,12,United States
Information technology,Intermediate Portfolio Analysis with in R,2016-01-11,Quant Finances,R,,,Yes,Ross Bennett,Data Camp,5,10,15,Belgium
Information technology,Up and Running with CentOS,2016-01-11,Operational Systems,Linux,,,Yes,Scott Simpson,Linkedin,2,4,6,United States
Information technology,Foundation of IT Security: Core concepts,2016-01-11,Security,Concepts,,,Yes,Lisa Bock,Linkedin,2,4,6,United States
Information technology,Foundations of IT Security:Operation System Security,2016-01-11,Security,Concepts,,,Yes,Lisa Bock,Linkedin,1.22,2.44,3.66,United States
Information technology,Foundations of IT Security:Core Concepts,2016-01-11,Security,Concepts,,,Yes,Lisa Bock,Linkedin,1.3,2.6,3.9,United States
Business,Customer Segmentation,2016-01-11,Marketing,Concepts,,,Yes,Doug Ladd,Linkedin,2,0,2,United States
Business,The Complete Digital Marketing Course,2016-01-11,Marketing,Concepts,,,Yes,Rob Percival,Udemy,2,0,2,United Kingdown
Data Science,Julia for Data Scientists First Look,2016-01-10,Coding,Julia,,,Yes,Barton Poulson,Linkedin,1,2,3,United States
Data Science,Data Science foundation:DataMining,2016-01-10,Data Management,DataMining,,,Yes,Barton Poulson,Linkedin,5,10,15,United States
Information technology,Google Cloud Plataform Essential Training,2016-01-10,Cloud computing,Google Cloud,,,Yes,Lynn Langit,Linkedin,4,8,12,United States
Information technology,Amazon webservices for Data Science,2016-01-10,Cloud computing,AWS,,,Yes,Lynn Langit,Linkedin,4,8,12,United States
Data Science,Introduction to Information Governance,2016-01-09,Data Modeling,Concepts,,,Yes,Robert Smallwood,Linkedin,1,2,3,United States
Data Science,Big Data and Social Analytics ,2016-01-09,Data Modeling,Python,,,Yes,Alex Pentland,MIT  Massachusets Institute of Tecnology,96,192,288,United States
Data Science,Creating Interative Presentations with shine and R,2016-01-08,Visualization,R,,,Yes,Martin Hadley,Linkedin,2,4,6,United States
Data Science,Data Science,2016-01-08,Data Modeling,Concepts,,,Yes,,Edureka,70,0,70,India
Data Science,Introduction to Data Science,2016-01-07,Data Modeling,Concepts,,,Yes,Robert Smallwood,Linkedin,4,8,12,United States
Data Science,Data Analysis on Hadoop,2016-01-07,Coding,Spark,,,Yes,Jack Dintruff,Linkedin,1,2,3,United States
Business,Sramana Mitra on Bootstrapping,2016-01-07,Finances,Concepts,,,Yes,Sramana Mitra,Linkedin,1,0,1,United States
Project Management,Agile Transformation  and Scale Agile,2022-05-25,Agile,Concepts,,,Yes,ICAN Consultancy,Udemy,4.5,0,4.5,Canada
Project Management,Managing Project Integration,2016-01-05,PMBOK,Concepts,,,Yes,Bob MacGannon,Linkedin,1,0,1,United States
Project Management,Rescuing Trouble Projects,2016-01-05,PMBOK,Concepts,,,Yes,Bob MacGannon,Linkedin,1,0,1,United States
Project Management,Agile at Work: Driving Productive Agile Meetings,2016-01-05,Agile,Concepts,,,Yes,Doug Rose,Linkedin,1,0,1,United States
Project Management,Delivering Employee Fedback,2016-01-05,Team Building,Concepts,,,Yes,Jungwoo Ryoo,Linkedin,1,0,1,United States
Project Management,Managing Multiple Generations,2016-01-05,Team Building,Concepts,,,Yes,Christina Schlachter,Linkedin,1,0,1,United States
Data Science,Design Paterns with Python,2016-01-05,Coding,Python,,,Yes,Jungwoo Ryoo,Linkedin,2,4,6,United States
Data Science,Up and Running with Python,2016-01-05,Coding,Python,,,Yes,Joe Marini,Linkedin,2.5,5,7.5,United States
Information technology,Understanding Microsoft Azure Core Functionalities,2016-01-05,Cloud computing,AZURE,,,Yes,David Rivers,Linkedin,3,6,9,United States
Business,Classroom Management Fundamentals,2016-01-05,Team Building,Concepts,,,Yes,Aaron Quigley,Linkedin,1,0,1,United States
Data Science,SPSS  Statistical Essencial Training,2016-01-04,Statistics,SPSS,,,Yes,Barton Poulson,Linkedin,5,10,15,United States
Information technology,Amazon webservices Data Services,2016-01-04,Cloud computing,AWS,,,Yes,Lynn Langit,Linkedin,5,10,15,United States
Business,Social Employes  The New Markteting Channel,2016-01-04,Marketing,Concepts,,,Yes,Mark Burges,Linkedin,1.5,0,1.5,United States
Project Management,Manage your Big Data Organization Programme,2016-01-03,Data Management,Concepts,,,Yes,Alan Simon,Linkedin,1,2,3,United States
Business,Connecting with Executives,2016-01-01,Sales,Concepts,,,Yes,John Ullmem,Linkedin,0.5,0,0.5,United States
Business,Writing Research Papers,2016-01-01,Concepts,Concepts,,,Yes,Judy Steiner Willians,Linkedin,2,0,2,United States
