group,subgroup,subject,tool,language ,course,date,stars,cerificate,instructor,company,theory,practice,total,country
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,Spark,Extending Hadoop for Data Science: Streaming Spark Storm and Kafka,2017-02-09,5,Yes,Lynn Langit,Linkedin,3,6,9,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,Apache Spark,Spark,The Ultimate hands on hadoop  Tame your BigData,2017-01-10,5,Yes,Frank Kane,Udemy,15,29,44,United States
Information Technology,Artificial Inteligence,Data,Hadoop,,Big Data and Hadoop Essentials,2017-01-01,5,Yes,Nitesh Jain,Udemy,8,16,24,United States
Information Technology,Artificial Inteligence,Data,Hadoop,,Introduction to Data Science,2016-01-07,5,Yes,Robert Smallwood,Linkedin,4,8,12,United States
Information Technology,Artificial Inteligence,Data,Hadoop,,Hadoop Fundamentals ,2015-04-24,5,Yes,Lynn Langit,Linkedin,5,10,15,United States
Information Technology,Artificial Inteligence,Machine Learning,Language,Julia,Julia for Data Scientists First Look,2016-01-10,5,Yes,Barton Poulson,Linkedin,1,2,3,United States
Information Technology,Artificial Inteligence,Machine Learning,Language,R,Learn Data Science and  Machine Learning with R from A-Z,2022-01-01,5,Yes,Juan E. Galvan,Udemy,29,20,49,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,Language,R,Data science with R Tidyverse,2021-09-25,5,Yes,Marko Intihar,Udemy,30,30,60,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,Language,R,Bayesian Computational Analysis,2018-03-04,5,Yes,Geoffrey Hubona Ph.D.,Udemy,13,26,39,United States
Information Technology,Artificial Inteligence,Machine Learning,Language,R,Social Network Analysis with R,2017-05-10,5,Yes,Curt Frye,Linkedin,3,7,10,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,Language,R,Master Data Science with R,2017-01-12,5,Yes,Minerva Singh,Udemy,25,49,74,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,Language,R,Machine Learning AZ      Python R,2017-01-05,5,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,41,82,123,United States
Information Technology,Artificial Inteligence,Machine Learning,Language,R,Unsupervised Learning in R,2013-08-15,5,Yes,Hank Roark,Data Camp,4,8,12,Belgium
Information Technology,Artificial Inteligence,Machine Learning,,,Data Science foundation Fundamentals,2018-01-07,5,Yes,Barton Poulson,Linkedin,4,0,4,United Kingdown
Information Technology,Artificial Inteligence,Machine Learning,,,Data Science foundation:DataMining,2016-01-10,5,Yes,Barton Poulson,Linkedin,5,10,15,United States
Information Technology,Artificial Inteligence,Machine Learning,,,Data Science,2016-01-08,5,Yes,,Edureka,70,0,70,India
Information Technology,Artificial Inteligence,Machine Learning,,,Machine Learning Toolbox,2014-12-01,5,Yes,Zachary DeaneMayer,Data Camp,4,8,12,Belgium
Information Technology,Artificial Inteligence,Machine Learning,,,Introduction to Machine Learning,2014-11-01,5,Yes,Vincent Vankrunkelsven,Data Camp,6,12,18,Belgium
Information Technology,Artificial Inteligence,Machine Learning,,,Foundations of Inference,2014-05-01,5,Yes,Jo Hardin,Data Camp,4,8,12,Belgium
Information Technology,Artificial Inteligence,Machine Learning,,,Correlation and Regression,2014-03-01,5,Yes,Ben Baumer,Data Camp,4,8,12,Belgium
Information Technology,Artificial Inteligence,Neural Network,H2O,R,Complete Machine Learning and Deep Learning with H20,2021-03-03,5,Yes,Minerva Singh,Udemy,5,5,10,United Kingdown
Information Technology,Artificial Inteligence,Neural Network,Keras,Python,Artificial Inteligence Masterclass,2024-05-30,5,Yes,Kiril Eremenko Hadelin de Ponteves,Udemy,10,10,20,United States
Information Technology,Artificial Inteligence,Neural Network,Keras,Python,Complete Deep Learning with Keras and Others,2021-03-06,5,Yes,Minerva Singh,Udemy,8,12,20,United Kingdown
Information Technology,Artificial Inteligence,Neural Network,Open CV,Python,Computer Vision AZ   Open CV GUNS Cutting,2017-01-11,5,Yes,Kiril Eremenko & Hadelin de Ponteves,Super Data Science,6,11,17,United States
Information Technology,Artificial Inteligence,Neural Network,Tensorflow,Python,20 Real World Data Science and Machine Learning 2021,2021-10-31,5,Yes,,Udemy,20,10,30,United Kingdown
Information Technology,Artificial Inteligence,Neural Network,Yolo,Python,Computer Vision Yolo Custom Object Detection with Colab GPU,2021-05-22,5,Yes,Abhilash Nelson,Udemy,4,10,14,United States
