Area,Course,Date,Skills,Technology,Group,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Information technology,Stock Technical Analysis with R,07/01/2017,Quant Finances,R,Software,,3,Yes,Diego Rodrigues,Udemy,7,14,21,United States
Business,Stock Traiding with Technical Analysis  Traiding Analysis,06/01/2017,Finances,Concepts,,,,Yes,Nrupen Nasram,Udemy,7,0,7,United States
Business,Facebook Marketing Step by Step,06/01/2017,Marketing,Concepts,,,,Yes,Benjamin Wilson,Udemy,1,0,1,United Kingdown
Data Science,R Programing AZ,06/01/2017,Coding,R,Software,,,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,10.5,21,31.5,United States
Data Science,Statistics for Business Analytics AZ,06/01/2017,Statistics,R,Software,,,Yes,Kiril Eremenko,Super Data Science,7,14,21,United States
Information technology,Block Chain Technology : A guide to the Block Chain,06/01/2017,Blockchain,Concepts,Software,,,Yes,Ravinder Deol,Udemy,1,0,1,United States
Data Science,Deep Learning AZ  Python,05/01/2017,Artificial Inteligence,Python,Software,,4,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,22,44,66,United States
Data Science,Machine Learning AZ      Python R,05/01/2017,Coding,R,Software,,,Yes,Kiril Eremenko Hadelin de Ponteves,Super Data Science,41,82,123,United States
Data Science,Practical Data Science Analysing Stock Market Data ,05/01/2017,Coding,R,Software,,,Yes,Manuel Amunateguy,Udemy,4,8,12,United States
Data Science,R Real World Datamining with R,05/01/2017,Coding,R,Software,,,Yes,Geoffrey Hubona Ph.D.,Udemy,7,14,21,United States
Data Science,Apache Spark 2.0 with Scala Hands on Big Data,01/01/2017,Coding,Scala,Software,,,Yes,Frank kane,Udemy,24,48,72,United States
Data Science,Taming Big Data with Spark Streaming and Scala Hands on,01/01/2017,Coding,Scala,Software,,,Yes,Frank Kane,Udemy,24,48,72,United States
Data Science,Architecting Big Data Solutions,01/01/2017,Coding,Spark,Software,,,Yes,V2 Maestro,Udemy,24,48,72,United States
Data Science,Big Data and Hadoop Essentials,01/01/2017,Coding,Spark,Software,,,Yes,Nitesh Jain,Udemy,8,16,24,United States
Data Science,Supercharge R with Spark R ,01/01/2017,Coding,Spark,Software,,,Yes,Manuel Amunateguy,Udemy,24,48,72,United States
Data Science,New Business Markets in the Internet of Things,01/01/2017,IOT,Concepts,,,,Yes,Ayora Berry,Udemy,8,16,24,United States
Data Science,Introdution to Data Analysis with Python,05/09/2016,Coding,Python,Software,,8,Yes,Michele Valisneri,Linkedin,2,4,6,United States
Project Management,Managing Conflict,05/09/2016,Team Building,Practitioner,,,,Yes,Fred Kofman,Linkedin,1,0,1,United States
Data Science,Big Data and Hadoop,03/05/2016,Coding,Spark,Software,,,Yes,Chaitam,Edureka,70,0,70,India
Business,Branding Fundamentals,25/01/2016,Marketing,Concepts,,,,Yes,Drew Boyd,Linkedin,1.5,0,1.5,United States
Business,Viral Marketing Crafting Shareable Content,25/01/2016,Marketing,Concepts,,,,Yes,Jonah Berger,Linkedin,1,0,1,United States
Data Science,Introduction to R,12/01/2016,Coding,R,Software,,,Yes,Jonathan Cornelissen,Data Camp,4,8,12,Belgium
Data Science,Spark and Scala,12/01/2016,Coding,Scala,Software,,,Yes,Jismi,Edureka,70,80,150,India
Business,Customer Segmentation,11/01/2016,Marketing,Concepts,,,,Yes,Doug Ladd,Linkedin,2,0,2,United States
Business,The Complete Digital Marketing Course,11/01/2016,Marketing,Concepts,,,,Yes,Rob Percival,Udemy,2,0,2,United Kingdown
Business,How to get your Ideas Approved,11/01/2016,Sales,Concepts,,,,Yes,Mike Figliuolo,Linkedin,2,0,2,United States
Information technology,Code Clinic  R,11/01/2016,Coding,R,Software,,,Yes,MarkNiemannRoss,Linkedin,4,8,12,United States
Information technology,Up and Running with CentOS,11/01/2016,Operational Systems,Linux,Infrastructure,,,Yes,Scott Simpson,Linkedin,2,4,6,United States
Information technology,Intermediate Portfolio Analysis with in R,11/01/2016,Quant Finances,R,Software,,5,Yes,Ross Bennett,Data Camp,5,10,15,Belgium
Information technology,Foundation of IT Security: Core concepts,11/01/2016,Security,Concepts,Infrastructure,,,Yes,Lisa Bock,Linkedin,2,4,6,United States
Information technology,Foundations of IT Security:Operation System Security,11/01/2016,Security,Concepts,Infrastructure,,,Yes,Lisa Bock,Linkedin,1.22,2.44,3.66,United States
Project Management,Managing Health Care Projects,11/01/2016,Productivity,Concepts,,,,Yes,Bob MacGannon,Linkedin,2,0,2,United States
Data Science,Julia for Data Scientists First Look,10/01/2016,Coding,Julia,Software,,,Yes,Barton Poulson,Linkedin,1,2,3,United States
Data Science,Data Science foundation:DataMining,10/01/2016,Data Management,Concepts,,,,Yes,Barton Poulson,Linkedin,5,10,15,United States
Information technology,Amazon webservices for Data Science,10/01/2016,Cloud computing,AWS,Infrastructure,,2,Yes,Lynn Langit,Linkedin,4,8,12,United States
Information technology,Google Cloud Plataform Essential Training,10/01/2016,Cloud computing,Google Cloud,Infrastructure,,11,Yes,Lynn Langit,Linkedin,4,8,12,United States
Data Science,Introduction to Information Governance,09/01/2016,Data Modeling,Concepts,,,,Yes,Robert Smallwood,Linkedin,1,2,3,United States
Data Science,Big Data and Social Analytics ,09/01/2016,Data Modeling,Python,Software,,9,Yes,Alex Pentland,MIT  Massachusets Institute of Tecnology,96,192,288,United States
Data Science,Data Science,08/01/2016,Data Modeling,Concepts,,,,Yes,,Edureka,70,0,70,India
Data Science,Creating Interative Presentations with shine and R,08/01/2016,Visualization,R,Software,,,Yes,Martin Hadley,Linkedin,2,4,6,United States
Business,Sramana Mitra on Bootstrapping,07/01/2016,Finances,Concepts,,,,Yes,Sramana Mitra,Linkedin,1,0,1,United States
Data Science,Data Analysis on Hadoop,07/01/2016,Coding,Spark,Software,,,Yes,Jack Dintruff,Linkedin,1,2,3,United States
Data Science,Introduction to Data Science,07/01/2016,Data Modeling,Concepts,,,,Yes,Robert Smallwood,Linkedin,4,8,12,United States
Business,Classroom Management Fundamentals,05/01/2016,Team Building,Concepts,,,,Yes,Aaron Quigley,Linkedin,1,0,1,United States
